Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Heptagenia/Ecdyonurus,FALSE,FALSE,,DNI,Heptageniidae,100504,Heptageniidae,DNI
Heptagenia/Nixe,FALSE,FALSE,,DNI,Heptageniidae,100504,Heptageniidae,DNI
Heptagenia/Nixe/Leucocruta,FALSE,FALSE,,DNI,Heptageniidae,100504,Heptageniidae,DNI
Heptageniidae,100504,FALSE,,DNI,Heptageniidae,100504,Heptageniidae,DNI
Here,80489,TRUE,Marine,DNI,DNI,FALSE,DNI,DNI
Hesperoconopa,120732,FALSE,,Hesperoconopa,Hesperoconopa,120732,Hesperoconopa,Hesperoconopa
Hesperocorixa,103444,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Hesperocorixa laevigata,103452,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Hesperocorixa vulgaris,103450,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Hesperoperla,102971,FALSE,Single Species in Genus in OR/WA,Hesperoperla pacifica,Hesperoperla pacifica,102972,Hesperoperla pacifica,Hesperoperla pacifica
Hesperoperla hoguei,102974,TRUE,no known from OR/WA,DNI,DNI,FALSE,DNI,DNI
Hesperoperla pacficia,FALSE,FALSE,Single Species in Genus in OR/WA,Hesperoperla pacifica,Hesperoperla pacifica,102972,Hesperoperla pacifica,Hesperoperla pacifica
Hesperoperla pacifica,102972,FALSE,Single Species in Genus in OR/WA,Hesperoperla pacifica,Hesperoperla pacifica,102972,Hesperoperla pacifica,Hesperoperla pacifica
Hesperophylax,116001,FALSE,,DNI,Hesperophylax,116001,Hesperophylax,DNI
Hetaerina,102048,FALSE,,DNI,Hetaerina,102048,Hetaerina,DNI
Heterelmis,114237,FALSE,"This is a valid taxon, but way out of distribution dubious ID or typo?",DNI,Heterelmis,114237,Heterelmis,DNI
Heterlimnius,114167,FALSE,only one species in Genus,Heterlimnius corpulentus,Heterlimnius corpulentus,114169,Heterlimnius corpulentus,Heterlimnius corpulentus
Heterlimnius corpulentus,114169,FALSE,only one species in Genus,Heterlimnius corpulentus,Heterlimnius corpulentus,114169,Heterlimnius corpulentus,Heterlimnius corpulentus
Heterlimnius divergens,114170,FALSE,bad genus sp. combo,Heterlimnius corpulentus,Heterlimnius corpulentus,114169,Heterlimnius corpulentus,Heterlimnius corpulentus
Heterlimnius koebelei,114168,FALSE,only one species in Genus,Heterlimnius corpulentus,Heterlimnius corpulentus,114169,Heterlimnius corpulentus,Heterlimnius corpulentus
Heteroceridae,114262,TRUE,"mud loving beetles, riparian at best",DNI,DNI,FALSE,DNI,DNI
Heterocloeon,100794,FALSE,,DNI,Heterocloeon,100794,Heterocloeon,DNI
Heteroplectron,116537,FALSE,single regional sp.,Heteroplectron californicum,Heteroplectron californicum,116538,Heteroplectron californicum,Heteroplectron californicum
Heteroplectron californicum,116538,FALSE,sinlge regional sp.,Heteroplectron californicum,Heteroplectron californicum,116538,Heteroplectron californicum,Heteroplectron californicum
Heteropora pacifica,155760,TRUE,"Valid taxon, but typo to Hesperoperla pacifica??",DNI,DNI,FALSE,DNI,DNI
Heteroptera,103358,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Heterosternuta,728249,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Heterosternuta,728249,Heterosternuta,Hydroporinae
Heterotanytarsus,128734,FALSE,,DNI,Heterotanytarsus,128734,Heterotanytarsus,DNI
Heterotrissocladius,128737,FALSE,,Heterotrissocladius,Heterotrissocladius,128737,Heterotrissocladius,Heterotrissocladius
Heterotrissocladius marcidus,128744,FALSE,FORMATTING,Heterotrissocladius,Heterotrissocladius Marcidus Group,-139,Heterotrissocladius Marcidus Group,Heterotrissocladius
Heterotrissocladius Marcidus Gr.,FALSE,FALSE,FORMATTING,Heterotrissocladius,Heterotrissocladius Marcidus Group,-139,Heterotrissocladius Marcidus Group,Heterotrissocladius
Heterotrissocladius marcidus group,-139,FALSE,FORMATTING,Heterotrissocladius,Heterotrissocladius Marcidus Group,-139,Heterotrissocladius Marcidus Group,Heterotrissocladius
Heterotrissocladius marcidus Group,-139,FALSE,FORMATTING,Heterotrissocladius,Heterotrissocladius Marcidus Group,-139,Heterotrissocladius Marcidus Group,Heterotrissocladius
